name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_common_name	host_subject_id	latitude	longitude	psn	region	sample_type	sequencecenter	title
1928.SRS011296.SRX020666.SRR044980	Sample 1928.SRS011296.SRX020666.SRR044980			UBERON:skin	UBERON:sebum	UBERON:skin of nose	97	urban biome	host-associated habitat		USA	human	700015301	38.98	-77.11	700015301	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011296.SRX020669.SRR045351	Sample 1928.SRS011296.SRX020669.SRR045351			UBERON:skin	UBERON:sebum	UBERON:skin of nose	97	urban biome	host-associated habitat		USA	human	700015301	38.98	-77.11	700015301	V3-V5	sebum	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011300.SRX020666.SRR047479	Sample 1928.SRS011300.SRX020666.SRR047479			Colon	UBERON:feces	Colon	97	urban biome	host-associated habitat		USA	human	700015407	38.98	-77.11	700015407	V3-V5	stool	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011300.SRX020669.SRR045304	Sample 1928.SRS011300.SRX020669.SRR045304			Colon	UBERON:feces	Colon	97	urban biome	host-associated habitat		USA	human	700015407	38.98	-77.11	700015407	V3-V5	stool	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011357.SRX020666.SRR047477	Sample 1928.SRS011357.SRX020666.SRR047477			UBERON:oral cavity	UBERON:saliva	UBERON:oral cavity	97	urban biome	host-associated habitat		USA	human	700015633	38.98	-77.11	700015633	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011357.SRX020669.SRR045289	Sample 1928.SRS011357.SRX020669.SRR045289			UBERON:oral cavity	UBERON:saliva	UBERON:oral cavity	97	urban biome	host-associated habitat		USA	human	700015633	38.98	-77.11	700015633	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011359.SRX020515.SRR049320	Sample 1928.SRS011359.SRX020515.SRR049320			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	host-associated habitat		USA	human	700015641	38.98	-77.11	700015641	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011361.SRX020515.SRR045371	Sample 1928.SRS011361.SRX020515.SRR045371			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	host-associated habitat		USA	human	700015644	38.98	-77.11	700015644	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011363.SRX020660.SRR044902	Sample 1928.SRS011363.SRX020660.SRR044902			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	host-associated habitat		USA	human	700015647	38.98	-77.11	700015647	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011363.SRX020668.SRR045134	Sample 1928.SRS011363.SRX020668.SRR045134			UBERON:oral cavity	UBERON:saliva	UBERON:buccal mucosa	97	urban biome	host-associated habitat		USA	human	700015647	38.98	-77.11	700015647	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
1928.SRS011365.SRX020515.SRR045373	Sample 1928.SRS011365.SRX020515.SRR045373			UBERON:oral cavity	UBERON:saliva	UBERON:gingiva	97	urban biome	host-associated habitat		USA	human	700015650	38.98	-77.11	700015650	V3-V5	Oral swab	WUGSC	"Structure, function and diversity of the healthy human microbiome (V35)"
